timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-01,127.0500,129.7500,125.8100,126.9700,126.9700,925336,0.0000,1.0000
2019-02-28,126.9200,127.1000,125.0900,125.1700,125.1700,694122,0.0000,1.0000
2019-02-27,126.3900,127.4500,125.3600,127.2300,127.2300,984389,0.0000,1.0000
2019-02-26,127.2000,127.9950,126.3750,126.5100,126.5100,519672,0.0000,1.0000
2019-02-25,128.1300,128.9200,126.7200,127.1500,127.1500,948377,0.0000,1.0000
2019-02-22,126.4400,128.1100,126.4400,127.1200,127.1200,672691,0.0000,1.0000
2019-02-21,125.4200,128.0000,124.6600,126.2400,126.2400,1460268,0.0000,1.0000
2019-02-20,125.8100,126.0500,124.3600,125.3300,125.3300,694669,0.0000,1.0000
2019-02-19,124.8700,126.1900,124.1700,125.4500,125.4500,939695,0.0000,1.0000
2019-02-15,123.9600,125.3600,122.8600,125.0900,125.0900,1063144,0.0000,1.0000
2019-02-14,121.9100,123.4800,119.5800,122.7900,122.7900,1503689,0.0000,1.0000
2019-02-13,126.9700,127.4450,123.0200,123.2400,123.2400,1747924,0.0000,1.0000
2019-02-12,126.1900,128.0000,125.8000,126.6600,126.6600,1106396,0.0000,1.0000
2019-02-11,125.5000,126.4100,125.1663,125.6000,125.6000,824836,0.0000,1.0000
2019-02-08,124.9300,126.1500,124.2100,125.0300,125.0300,1474635,0.0000,1.0000
2019-02-07,125.0500,126.2600,123.6400,125.5000,125.5000,1605752,0.0000,1.0000
2019-02-06,124.8100,126.2000,123.1400,126.0800,126.0800,1642987,0.0000,1.0000
2019-02-05,122.6600,128.6500,122.1000,124.1600,124.1600,3927222,0.0000,1.0000
2019-02-04,115.7600,116.1600,113.8900,114.5500,114.5500,1284944,0.0000,1.0000
2019-02-01,116.3000,117.2600,115.3500,115.7800,115.7800,1254526,0.0000,1.0000
2019-01-31,117.9000,117.9000,115.2300,116.1400,116.1400,916473,0.0000,1.0000
2019-01-30,117.4300,117.4900,115.8600,116.9500,116.9500,575836,0.0000,1.0000
2019-01-29,115.8600,116.4400,114.3000,116.1500,116.1500,821423,0.0000,1.0000
2019-01-28,112.6300,115.2300,112.1500,115.0900,115.0900,810410,0.0000,1.0000
2019-01-25,112.2700,113.8600,111.4800,113.6400,113.6400,817681,0.0000,1.0000
2019-01-24,110.5300,111.1000,108.9950,110.9400,110.9400,611094,0.0000,1.0000
2019-01-23,109.9600,111.1900,109.0050,110.2800,110.2800,719681,0.0000,1.0000
2019-01-22,111.0000,111.9900,108.8100,109.3300,109.3300,797934,0.0000,1.0000
2019-01-18,109.4500,112.1600,109.0800,111.5700,111.5700,978905,0.0000,1.0000
2019-01-17,104.8100,109.3200,104.7800,107.8800,107.8800,634348,0.0000,1.0000
2019-01-16,106.1800,106.8900,105.3100,105.6300,105.6300,1033660,0.0000,1.0000
